,name,rating,votes,runtime,genre,description
12,Past Lives,8,"52,087",105 min,"['Drama, Romance']","[""Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.""]"
13,No Hard Feelings,6.4,"121,125",103 min,"['Comedy, Romance']","['On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.']"
14,Sharper,6.7,"27,883",116 min,"['Crime, Drama, Thriller']","['Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires.']"
15,Blood & Gold,6.5,"15,659",98 min,"['Action, Drama, War']","['At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.']"
16,Sirf Ek Bandaa Kaafi Hai,7.9,"26,670",132 min,"['Crime, Drama, Thriller']",['A common man with honesty and integrity can take on the system when he has truth on his side.']
17,The Holdovers,8,"30,507",133 min,"['Comedy, Drama']",['A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go.']
18,The Hunger Games: The Ballad of Songbirds & Snakes,7,"67,853",157 min,"['Action, Adventure, Drama']",['Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.']
19,The Burial,7.1,"26,724",126 min,['Drama'],"['Inspired by true events, a lawyer helps a funeral home owner save his family business from a corporate behemoth, exposing a complex web of race, power, and injustice.']"
20,Spider-Man: Across the Spider-Verse,8.6,"319,476",140 min,"['Animation, Action, Adventure']","['Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.']"
21,Sisu,6.9,"64,472",91 min,"['Action, War']","['When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.']"
22,The Hill,6.5,"1,539",126 min,"['Biography, Drama, Sport']","[""The remarkable true-life story of Rickey Hill's improbable journey to play Major League Baseball.""]"
23,Champions,6.8,"22,938",124 min,"['Comedy, Drama, Sport']","['A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined.']"
24,No One Will Save You,6.3,"56,549",93 min,"['Horror, Sci-Fi, Thriller']","[""An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.""]"
25,Animal,6.9,"54,997",204 min,"['Action, Crime, Drama']","[""A father, who is often away due to work, is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son.""]"
26,The Three Musketeers - Part II: Milady,6.8,"1,007",115 min,"['Action, Adventure, History']","[""D'Artagnan is forced to join forces with Milady to save Constance, who was kidnapped before his eyes. But as war is declared and Athos, Porthos and Aramis have already joined the front, a secret from the past shatters old alliances.""]"
27,Pain Hustlers,6.5,"33,428",123 min,"['Crime, Drama']","['Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy.']"
28,The Three Musketeers - Part I: D'Artagnan,6.7,"15,715",121 min,"['Action, Adventure, History']","[""D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King.""]"
29,Dumb Money,6.9,"22,214",105 min,"['Biography, Comedy, Drama']","[""David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.""]"
30,Killers of the Flower Moon,7.8,"137,343",206 min,"['Crime, Drama, History']","['When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.']"
31,Guardians of the Galaxy Vol. 3,7.9,"355,043",150 min,"['Action, Adventure, Comedy']","['Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.']"
32,Mission: Impossible - Dead Reckoning Part One,7.8,"205,413",163 min,"['Action, Adventure, Thriller']",['Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.']
33,Missing,7.1,"54,537",111 min,"['Drama, Mystery, Thriller']","['After her mother goes missing, a young woman tries to find her from home, using tools available to her online.']"
34,John Wick: Chapter 4,7.7,"310,425",169 min,"['Action, Crime, Thriller']","['John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.']"
35,AKA,6.6,"12,298",122 min,"['Action, Crime, Thriller']","[""A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss's young son.""]"
36,When Evil Lurks,7,"18,039",99 min,['Horror'],"['In a remote village, two brothers find a demon-infected man just about to ""give birth"" to evil itself. They decide to get rid of the body, only to end up unintentionally spreading chaos.']"
37,Luther: The Fallen Sun,6.4,"60,933",129 min,"['Crime, Drama, Mystery']",['Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.']
38,Indiana Jones and the Dial of Destiny,6.6,"167,259",154 min,"['Action, Adventure, Sci-Fi']",['Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.']
39,Dumb Money,6.9,"22,214",105 min,"['Biography, Comedy, Drama']","[""David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.""]"
40,Talk to Me,7.1,"114,106",95 min,"['Horror, Thriller']","['When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.']"
41,The Creator,6.8,"99,756",133 min,"['Action, Adventure, Drama']","['Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.']"
42,Elemental,7,"105,181",101 min,"['Animation, Adventure, Comedy']","['Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.']"
43,Pathaan,5.9,"152,386",146 min,"['Action, Adventure, Thriller']","['An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.']"
44,Extraction II,7,"137,529",122 min,"['Action, Thriller']","['After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.']"
45,The Equalizer 3,6.8,"80,293",109 min,"['Action, Crime, Thriller']","[""Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.""]"
46,Ballerina,6.2,"9,669",92 min,"['Action, Thriller']","[""Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.""]"
47,A Million Miles Away,7.3,"18,040",121 min,"['Biography, Drama']","['A biopic about Jose Hernandez and his path from a farm worker to becoming an engineer and an astronaut. A tale of perseverance, community and sacrifice to accomplish a seemingly impossible dream.']"
48,Gran Turismo,7.2,"69,536",134 min,"['Action, Adventure, Drama']","['Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.']"
49,The Super Mario Bros. Movie,7,"216,003",92 min,"['Animation, Adventure, Comedy']","['A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.']"
50,Mrs. Chatterjee vs. Norway,7.3,"9,232",144 min,"['Biography, Drama']","[""An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.""]"
51,Fireworks,7.4,877,134 min,"['Drama, Romance']","['The troubled relationship between Gianni and Nino, set in the narrow-minded and prejudencial Sicily of 1982.']"
52,The Childe,6.9,"3,239",118 min,"['Action, Drama, Thriller']","['""The Childe"" focuses on a man born to a Korean father and a Filipino mother who aspires to be a boxer. He travels back to Korea in the hopes of tracking down his father, and in the process, he gets mixed up with some bad people.']"
53,Post Truth,7,643,112 min,"['Comedy, Drama']",['A cemetery salesman is slandered by rumors and his cemetery is facing demolition.']
54,Pamela: A Love Story,7.2,"12,337",112 min,"['Documentary, Biography']","['Follows the life of pop culture icon Pamela Anderson, including never-before-seen archival footage and personal journals.']"
55,A Good Person,7.1,"18,291",128 min,['Drama'],"['Follows Allison, whose life falls apart following her involvement in a fatal accident.']"
56,Poor Things,8.5,"11,215",141 min,"['Comedy, Drama, Romance']","['The incredible tale about the fantastical evolution of Bella Baxter; a young woman brought back to life by the brilliant and unorthodox scientist, Dr. Godwin Baxter.']"
57,Dune: Part Two,,"13,825",166 min,"['Action, Adventure, Drama']",['Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.']
58,Dream Scenario,7.1,"431,734",102 min,"['Comedy, Horror']","['A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.']"
59,Barbie,6.9,"20,278",114 min,"['Adventure, Comedy, Fantasy']",['Barbie suffers a crisis that leads her to question her world and her existence.']
60,"Are You There God? It's Me, Margaret.",7.4,"74,465",106 min,"['Comedy, Drama, Family']","['When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.']"
61,Reptile,6.8,"208,003",134 min,"['Crime, Drama, Mystery']","['Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.']"
62,Dungeons & Dragons: Honor Among Thieves,7.3,"52,161",134 min,"['Action, Adventure, Comedy']","['A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.']"
63,Chor Nikal Ke Bhaga,7.4,"27,583",110 min,"['Crime, Drama, Thriller']","['A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.']"
64,Love at First Sight,6.8,"35,994",91 min,"['Drama, Romance']",['A teenage girl misses her flight at JFK Airport and meets a young British guy who may turn out to be her true love.']
65,Nimona,7.6,"134,459",101 min,"['Animation, Action, Adventure']","[""When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.""]"
66,M3GAN,6.4,"93,88",102 min,"['Horror, Sci-Fi, Thriller']",['A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.']
67,Evil Dead Rise,6.5,"127,648",96 min,['Horror'],"['A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.']"
68,57 Seconds,5.4,"4,799",99 min,"['Sci-Fi, Thriller']","['When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.']"
69,The Little Mermaid,7.2,"147,856",135 min,"['Adventure, Family, Fantasy']",['A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.']
70,Apocalypse Clown,5.4,539,102 min,['Comedy'],"['When a mysterious technological blackout plunges Ireland into anarchy and chaos, a group of failed washed up clowns are forced to traverse the country for one last shot at their dreams.']"
71,Jules,6.8,"7,452",87 min,"['Comedy, Drama, Sci-Fi']","['Milton lives a quiet life of routine in a small western Pennsylvania town, but finds his day upended when a UFO and its extra-terrestrial passenger crash land in his backyard.']"
72,Phantom,6.2,471,133 min,"['Action, Crime, History']","['An action, spy film set in the backdrop of the Japanese colonial era.']"
73,Infinity Pool,6,"49,424",117 min,"['Crime, Horror, Mystery']","[""James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.""]"
74,Saw X,6.6,"61,449",118 min,"['Horror, Mystery, Thriller']",['A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.']
75,Hidden Blade,6.4,"6,192",128 min,"['Drama, History, Thriller']","[""Follows the story of underground workers who risked their lives to send intelligence and defend the motherland, set after Japan's attack on Pearl Harbor when the Wang Jingwei regime declared war on Britain and the U.S.""]"
76,Bottoms,6.8,"26,070",91 min,['Comedy'],['Two unpopular queer high-school students start a fight club to have sex before graduation.']
77,"Red, White & Royal Blue",7,"43,192",118 min,"['Comedy, Romance']","[""When the feud between the son of the American President and Britain's prince threatens to drive a wedge in U.S./British relations, the two are forced into a staged truce that sparks something deeper.""]"
78,Ferrari,6.8,"3,977",124 min,"['Biography, Drama, History']","[""Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy.""]"
79,Ant-Man and the Wasp: Quantumania,6.1,"216,286",124 min,"['Action, Adventure, Comedy']","[""Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?""]"
80,Scream VI,6.5,"113,031",122 min,"['Horror, Mystery, Thriller']","['In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.']"
81,Inside,5.5,"14,636",105 min,"['Drama, Thriller']","[""Nemo, a high-end art thief, is trapped in a New York penthouse after his heist doesn't go as planned. Locked inside with nothing but priceless works of art, he must use all his cunning and ingenuity to survive.""]"
82,Blue Beetle,6,"80,329",127 min,"['Action, Adventure, Sci-Fi']","[""An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.""]"
83,Shazam! Fury of the Gods,6,"117,105",130 min,"['Action, Adventure, Comedy']","['The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.']"
84,The Flash,6.7,"192,879",144 min,"['Action, Adventure, Fantasy']","['Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.']"
85,A Thousand and One,7,"5,318",117 min,"['Crime, Drama']","['After unapologetic and fiercely loyal Inez kidnaps her son Terry from the foster care system, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City.']"
86,Aquaman and the Lost Kingdom,6,"15,096",124 min,"['Action, Adventure, Fantasy']","[""Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.""]"
87,Asteroid City,6.6,"93,356",105 min,"['Comedy, Drama, Romance']","['Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.']"
88,A Haunting in Venice,6.5,"87,976",103 min,"['Crime, Drama, Horror']","['In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.']"
89,Rebel Moon - Part One: A Child of Fire,5.7,"49,252",133 min,"['Action, Adventure, Drama']","['When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.']"
90,Operation Fortune: Ruse de Guerre,6.3,"78,165",114 min,"['Action, Comedy, Thriller']","[""Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.""]"
91,Sherlock Holmes 3,,,93 min,"['Action, Adventure, Mystery']",['The plot is unknown at this time.']
92,Renfield,6.4,"85,168",,"['Comedy, Fantasy, Horror']","[""Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.""]"
93,Napoleon,6.6,"70,597",158 min,"['Action, Adventure, Biography']","['An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.']"
94,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,"53,230",99 min,"['Animation, Action, Adventure']",['The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.']
95,The Pope's Exorcist,6.1,"76,775",103 min,"['Horror, Thriller']","[""Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.""]"
96,Creed III,6.7,"87,908",116 min,"['Drama, Sport']","['Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.']"
97,Kidnapped,7.1,"1,855",134 min,"['Drama, History']",['A Jewish boy is kidnapped and converted to Catholicism in 1858.']
98,Fast X,5.8,"106,548",141 min,"['Action, Adventure, Crime']",['Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.']
99,The Mothership,none,None,None,"['Adventure, Drama, Family']","[""One year after her husband's mysterious disappearance, Sara Morse discovers a strange, extraterrestrial object underneath their home. She and her kids are on a race to find their husband, father, and the truth.""]"
